                                                        ,                                   , Win10 #1, Win10 #2, Win10 w/ WSL2 #1, Win10 w/ WSL2 #2, Average Difference w/ WSL2
PugetBench for Photoshop 0.9 (Photoshop 21.1.3)         , Overall Score                     , 995     , 993     , 999             , 999             , 0.50%
PugetBench for Lightroom Classic 0.91 (LR Classic 9.2)  , Overall Score                     , 1122    , 1118    , 1116.5          , 1121.5          , -0.09%
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)   , Standard Overall Score            , 862     , 874     , 861             , 859             , -0.93%
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)   , Standard Export Score             , 96.1    , 98      , 95              , 95.2            , -2.03%
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)   , Standard Live Playback Score      , 76.3    , 76.8    , 77.1            , 76.6            , 0.39%
PugetBench for After Effects 0.9 (After Effects 17.1x72), Overall Score                     , 1056    , 1064    , 985             , 1082            , -2.53%
PugetBench for AERender 0.9 (After Effects 17.1x72)     , Overall Score                     , 1024    , 1007    , 999             , 985             , -2.34%
PugetBench for DaVinci Resolve V0.8 BETA (DR 16.0.0.60) , 4K Overall Score                  , 1118    , 1118    , 1111            , 1120            , -0.22%
GeekBench3                                              , GeekBench Score Overall Multi Core, 55310   , 55377   , 55487           , 55480           , 0.25%
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)         , Max CPU and GPU Result            , 39.9    , 39.4    , 39.8            , 39.3            , -0.25%
NeatBench (Neat Image 8.5.0 - Neat Video 5.1.0)         , Max Peak CPU Only Result          , 25.6    , 25.5    , 25.6            , 25.6            , 0.20%
CineBench R15.038                                       , CPU Render Multi Core             , 3118.4  , 3118.2  , 3122.3          , 3132.3          , 0.29%
Cinebench R20.060                                       , CPU Render CB Score               , 7058.77 , 7060.13 , 7074.5          , 7072.27         , 0.20%
OctaneBench 4.02.1                                      , Total score                       , 311.9   , 310.6   , 311.2           , 310.2           , -0.18%
OctaneBench 2019                                        , Total Score RTX On                , 1020    , 1020.8  , 1016.5          , 1017            , -0.36%
OctaneBench 2019                                        , Total Score RTX Off               , 309.1   , 309     , 309.2           , 309.4           , 0.08%
V-Ray Benchmark 1.0.8                                   , CPU                               , 47      , 47      , 47              , 47              , 0.00%
V-Ray Benchmark 1.0.8                                   , GPU                               , 49      , 49      , 48              , 48              , -2.06%
V-Ray Next Benchmark 4.10.06                            , CPU Mode All CPUs                 , 19744   , 19379   , 19627           , 19553           , 0.15%
Pix4D 4.5.6                                             , Rock Model Total                  , 264     , 265     , 265             , 263             , -0.19%
Pix4D 4.5.6                                             , School Map Total                  , 736     , 737     , 732             , 730             , -0.75%
Redshift 2.6.41                                         , Render Time Age of Vultures Scene , 489     , 497     , 489             , 491             , -0.61%
RealityCapture 1.0.3.10403                              , Rock Model Total                  , 179.5   , 179.7   , 180             , 181             , 0.50%
RealityCapture 1.0.3.10403                              , School Map Total                  , 416.7   , 417.4   , 421.7           , 415.9           , 0.42%